poi_lat,poi_lon,category
6.0469374,80.1942282,worship
6.0642798,80.1805436,worship
6.1074973,80.5798816,worship
6.1417243,80.6206136,worship
6.1248005,80.6688558,worship
6.2094304,80.6921588,worship
6.3415108,80.5648397,worship
6.3768154,80.3593718,worship
6.2908882,80.5464781,worship
6.1044596,80.4782983,worship
6.1038436,80.4791807,worship
6.0917832,80.4765307,worship
6.0816883,80.5598535,worship
5.9770616,80.4211227,worship
6.3671711,80.5937701,worship
6.3279204,80.5213826,worship
6.3443205,80.5586519,worship
6.0921712,80.3067649,worship
5.949639,80.4787842,worship
5.9405803,80.4784923,worship
6.0507934,80.4590103,worship
5.974736,80.424607,worship
6.0985854,80.5283222,worship
6.0225059,80.2490708,worship
6.0250013,80.2610505,worship
6.0192228,80.2724161,worship
6.0190415,80.2681996,worship
6.0111834,80.287672,worship
6.0492835,80.2529938,worship
5.9691867,80.3700002,worship
5.9621048,80.419816,worship
6.0586112,80.7973223,worship
5.9647258,80.5025116,worship
6.0153306,80.2399952,worship
5.9544281,80.5191348,worship
5.9408753,80.5096022,worship
6.1484979,80.1397678,worship
6.1444261,80.5493114,worship
6.175602,80.1738647,worship
6.1637473,80.1797268,worship
6.0192213,80.4900853,worship
5.9397777,80.5122473,worship
6.1708973,80.1622835,worship
6.169188,80.1617417,worship
6.1476114,80.7641959,worship
6.1545756,80.1861857,worship
6.1606611,80.1734666,worship
6.0794439,80.2844478,worship
5.974228,80.3710199,worship
5.9815505,80.3714389,worship
5.9728882,80.3794573,worship
5.9685661,80.387637,worship
5.9658323,80.3883819,worship
6.002355,80.3093736,worship
6.011922,80.3116018,worship
5.9968158,80.3050284,worship
6.0374,80.2931094,worship
6.0520726,80.2847011,worship
6.040058,80.3052068,worship
6.0351121,80.314359,worship
6.0291232,80.2910893,worship
5.9984262,80.2858716,worship
6.0012838,80.2820583,worship
5.9999794,80.2820235,worship
6.0034142,80.2655365,worship
6.0076601,80.2569692,worship
6.0244468,80.2459841,worship
6.0330551,80.2437867,worship
6.0856477,80.1511469,worship
6.0913686,80.1405505,worship
5.9903208,80.5394276,worship
5.9867729,80.5226584,worship
5.9883094,80.5263008,worship
6.4242838,80.8176704,worship
6.3474418,80.8410167,worship
6.3338047,80.8515112,worship
6.469391,81.0122059,worship
6.3206439,80.8611844,worship
6.3164605,80.8419513,worship
6.2179442,80.203432,worship
6.0235113,80.7985465,worship
6.0266395,80.7895795,worship
6.014288,80.7641758,worship
6.040051,80.7998931,worship
6.3926823,80.1832784,worship
6.1331211,80.1022902,worship
6.1007511,80.131439,worship
6.1263303,80.1285057,worship
6.1260693,80.1137285,worship
